Concept,Name + POS,feat_name,feat_value,weight
bed,('bed' 'N'),RelatedTo,sleeping,14.61204982197912
bed,('bed' 'N'),RelatedTo,sleep,12.53730433546223
bed,('bed' 'N'),RelatedTo,furniture,10.91311138035345
bed,('bed' 'N'),UsedFor,have_sex,9.38083151964686
bed,('bed' 'N'),RelatedTo,mattress,8.723989912878165
bed,('bed' 'N'),RelatedTo,place,8.361817984146748
bed,('bed' 'N'),RelatedTo,pillows,6.052437525493344
bed,('bed' 'N'),RelatedTo,sleeping_place,5.360596981680306
bed,('bed' 'N'),RelatedTo,sheets,5.276362383309168
bed,('bed' 'N'),RelatedTo,sleeping_furniture,5.270294109440193
bed,('bed' 'N'),RelatedTo,cot,4.915689168366934
bed,('bed' 'N'),RelatedTo,pillow,4.593909010853394
bed,('bed' 'N'),IsA,place,4.47213595499958
bed,('bed' 'N'),UsedFor,resting_on,4.47213595499958
bed,('bed' 'N'),AtLocation,house,4.0
bed,('bed' 'N'),UsedFor,making_love,3.4641016151377544
bed,('bed' 'N'),AtLocation,room,3.4641016151377544
bed,('bed' 'N'),IsA,furniture,2.82842712474619
bed,('bed' 'N'),UsedFor,lie_down,2.82842712474619
bed,('bed' 'N'),UsedFor,fucking_in,2.82842712474619
bed,('bed' 'N'),AtLocation,rest_area,2.82842712474619
bed,('bed' 'N'),AtLocation,neighbor's_house,2.82842712474619
bed,('bed' 'N'),AtLocation,hospital,2.82842712474619
bed,('bed' 'N'),HasProperty,flat,2.82842712474619
bed,('bed' 'N'),IsA,stratum,2.0
bed,('bed' 'N'),IsA,good_place_to_lie,2.0
bed,('bed' 'N'),IsA,natural_depression,2.0
bed,('bed' 'N'),IsA,surface,2.0
bed,('bed' 'N'),IsA,foundation,2.0
bed,('bed' 'N'),IsA,plot,2.0
bed,('bed' 'N'),IsA,bedroom_furniture,2.0
bed,('bed' 'N'),PartOf,press,2.0
bed,('bed' 'N'),PartOf,bedroom,2.0
bed,('bed' 'N'),UsedFor,resting,2.0
bed,('bed' 'N'),UsedFor,reading_in,2.0
bed,('bed' 'N'),UsedFor,lying_down,2.0
bed,('bed' 'N'),UsedFor,having_sex_in,2.0
bed,('bed' 'N'),UsedFor,laying_down,2.0
bed,('bed' 'N'),UsedFor,sit_on,2.0
bed,('bed' 'N'),AtLocation,apartment,2.0
bed,('bed' 'N'),AtLocation,loft,2.0
bed,('bed' 'N'),MannerOf,supply,2.0
bed,('bed' 'N'),MannerOf,put,2.0
bed,('bed' 'N'),MannerOf,plant,2.0
bed,('bed' 'N'),ReceivesAction,found_in_hotel,2.0
bed,('bed' 'N'),IsA,usually_to_lie_on_and_sleep,1.0
bed,('bed' 'N'),IsA,furniture,1.0
bed,('bed' 'N'),PartOf,household_posessions,1.0
bed,('bed' 'N'),HasA,mattress,1.0
bed,('bed' 'N'),CapableOf,rest_person,1.0
bed,('bed' 'N'),CapableOf,provide_comfort,1.0
bed,('bed' 'N'),AtLocation,basement,1.0
bed,('bed' 'N'),AtLocation,homewares_department,1.0
bed,('bed' 'N'),AtLocation,relatives_house,1.0
bed,('bed' 'N'),AtLocation,hotel_room,1.0
bed,('bed' 'N'),MadeOf,straw,1.0
bed,('bed' 'N'),ReceivesAction,found_in_monestary,1.0
bed,('bed' 'N'),ReceivesAction,found_in_bedroom,1.0
bed,('bed' 'N'),ReceivesAction,found_in_convent,1.0
bed,('bed' 'N'),ReceivesAction,found_in_hospital,1.0
bed,('bed' 'N'),ReceivesAction,made_from_wood,1.0
bed,('bed' 'N'),ReceivesAction,found_in_motel,1.0
bed,('bed' 'N'),ReceivesAction,found_in_hospice,1.0
bed,('bed' 'N'),ReceivesAction,found_in_house,1.0
creator,('creator' 'N'),RelatedTo,god,2.0
creator,('creator' 'N'),RelatedTo,create,2.0
creator,('creator' 'N'),RelatedTo,creation,2.0
creator,('creator' 'N'),IsA,person,2.0
creator,('creator' 'N'),RelatedTo,creative,1.0
creator,('creator' 'N'),RelatedTo,deity,1.0
creator,('creator' 'N'),RelatedTo,universe,1.0
creator,('creator' 'N'),RelatedTo,creatrix,1.0
creator,('creator' 'N'),RelatedTo,recreate,1.0
creator,('creator' 'N'),RelatedTo,recreation,1.0
creator,('creator' 'N'),IsA,person,1.0
creator,('creator' 'N'),IsA,person,1.0
creator,('creator' 'N'),CapableOf,name_invention,1.0
cow,('cow' 'N'),RelatedTo,animal,8.613942186943213
cow,('cow' 'N'),RelatedTo,milk,7.38430768589717
cow,('cow' 'N'),RelatedTo,moo,5.06951674225463
cow,('cow' 'N'),AtLocation,countryside,4.898979485566356
cow,('cow' 'N'),RelatedTo,bovine,4.725674555023865
cow,('cow' 'N'),RelatedTo,farm,4.165573189850347
cow,('cow' 'N'),AtLocation,stable,3.4641016151377544
cow,('cow' 'N'),RelatedTo,farm_animal,3.2267630839589074
cow,('cow' 'N'),RelatedTo,beef,3.118974190338869
cow,('cow' 'N'),RelatedTo,bull,2.9243802762294777
cow,('cow' 'N'),AtLocation,slaughter_house,2.82842712474619
cow,('cow' 'N'),AtLocation,hamburger,2.82842712474619
cow,('cow' 'N'),RelatedTo,milk_animal,2.5604687070925127
cow,('cow' 'N'),RelatedTo,udders,2.2636254107073466
cow,('cow' 'N'),RelatedTo,udder,2.1438283513378584
cow,('cow' 'N'),IsA,cattle,2.0
cow,('cow' 'N'),IsA,unpleasant_woman,2.0
cow,('cow' 'N'),IsA,placental,2.0
cow,('cow' 'N'),CapableOf,jump_over_moon,2.0
cow,('cow' 'N'),CapableOf,produce_methane_gas,2.0
cow,('cow' 'N'),AtLocation,dairy_farm,2.0
cow,('cow' 'N'),AtLocation,ranch,2.0
cow,('cow' 'N'),AtLocation,paddock,2.0
cow,('cow' 'N'),AtLocation,butcher_shop,2.0
cow,('cow' 'N'),AtLocation,milking_barn,2.0
cow,('cow' 'N'),AtLocation,milking_stall,2.0
cow,('cow' 'N'),AtLocation,farmyard,2.0
cow,('cow' 'N'),IsA,ruminant,1.0
cow,('cow' 'N'),IsA,female_animal,1.0
cow,('cow' 'N'),IsA,hoofed_mammal,1.0
cow,('cow' 'N'),IsA,adult,1.0
cow,('cow' 'N'),IsA,living_creature,1.0
cow,('cow' 'N'),IsA,herd_animal,1.0
cow,('cow' 'N'),IsA,herd_animal,1.0
cow,('cow' 'N'),IsA,female_steer,1.0
cow,('cow' 'N'),PartOf,heard,1.0
cow,('cow' 'N'),PartOf,cattle,1.0
cow,('cow' 'N'),HasA,four_legs,1.0
cow,('cow' 'N'),UsedFor,milking,1.0
cow,('cow' 'N'),UsedFor,milk_and_meat,1.0
cow,('cow' 'N'),CapableOf,low_for_calf,1.0
cow,('cow' 'N'),CapableOf,low_at_milking_time,1.0
cow,('cow' 'N'),CapableOf,low_for_breakfast,1.0
cow,('cow' 'N'),CapableOf,supply_humans_with_milk,1.0
cow,('cow' 'N'),CapableOf,lie_under_tree,1.0
cow,('cow' 'N'),CapableOf,low_by_mooing,1.0
cow,('cow' 'N'),CapableOf,feed_calf,1.0
cow,('cow' 'N'),CapableOf,pet,1.0
cow,('cow' 'N'),CapableOf,blow_horn,1.0
cow,('cow' 'N'),CausesDesire,drink_milk,1.0
cow,('cow' 'N'),ReceivesAction,found_on_ranch,1.0
cow,('cow' 'N'),ReceivesAction,eaten,1.0
area,('area' 'N'),IsA,body_part,2.0
area,('area' 'N'),IsA,topic,2.0
area,('area' 'N'),IsA,structure,2.0
area,('area' 'N'),IsA,extent,2.0
area,('area' 'N'),IsA,region,2.0
area,('area' 'N'),IsA,place,2.0
area,('area' 'N'),RelatedTo,square_inch,1.0
area,('area' 'N'),RelatedTo,penalty_area,1.0
area,('area' 'N'),RelatedTo,object,1.0
area,('area' 'N'),RelatedTo,genitals,1.0
area,('area' 'N'),RelatedTo,square_meter,1.0
area,('area' 'N'),RelatedTo,scope,1.0
area,('area' 'N'),IsA,non_aspectual_quantity,1.0
area,('area' 'N'),IsA,spatial_quantity,1.0
area,('area' 'N'),IsA,another_word_for_place,1.0
area,('area' 'N'),IsA,square_quantity,1.0
area,('area' 'N'),CapableOf,part_of_town,1.0
area,('area' 'N'),DefinedAs,size_of_city,1.0
area,('area' 'N'),ReceivesAction,lived_on,1.0
student,('student' 'N'),AtLocation,university,6.32455532033676
student,('student' 'N'),CapableOf,question_teacher,6.0
student,('student' 'N'),CapableOf,complete_homework,4.898979485566356
student,('student' 'N'),CapableOf,note_fact,4.898979485566356
student,('student' 'N'),CapableOf,study_book,4.47213595499958
student,('student' 'N'),CapableOf,study,4.47213595499958
student,('student' 'N'),CapableOf,master_subject,4.47213595499958
student,('student' 'N'),CapableOf,doubt_teacher,4.0
student,('student' 'N'),CapableOf,read_book,4.0
student,('student' 'N'),CapableOf,study_math,4.0
student,('student' 'N'),CapableOf,fail_test,4.0
student,('student' 'N'),AtLocation,college,4.0
student,('student' 'N'),CapableOf,answer_question,3.4641016151377544
student,('student' 'N'),AtLocation,classroom,3.4641016151377544
student,('student' 'N'),AtLocation,library,3.4641016151377544
student,('student' 'N'),Desires,learn,3.4641016151377544
student,('student' 'N'),PartOf,class,2.82842712474619
student,('student' 'N'),IsA,enrollee,2.0
student,('student' 'N'),AtLocation,college_class,2.0
student,('student' 'N'),RelatedTo,school,1.0
student,('student' 'N'),RelatedTo,university,1.0
student,('student' 'N'),RelatedTo,person,1.0
student,('student' 'N'),RelatedTo,learn,1.0
student,('student' 'N'),IsA,worker,1.0
student,('student' 'N'),IsA,worker,1.0
student,('student' 'N'),IsA,person,1.0
student,('student' 'N'),IsA,learning,1.0
student,('student' 'N'),IsA,person,1.0
student,('student' 'N'),HasA,plenty_of_free_time,1.0
student,('student' 'N'),UsedFor,projects_at_university,1.0
student,('student' 'N'),UsedFor,teaching,1.0
student,('student' 'N'),UsedFor,taking_tests,1.0
student,('student' 'N'),UsedFor,filling_out_class,1.0
student,('student' 'N'),UsedFor,reading_textbooks,1.0
student,('student' 'N'),UsedFor,teach_things_to,1.0
student,('student' 'N'),UsedFor,classroom,1.0
student,('student' 'N'),UsedFor,torture_by_professors,1.0
student,('student' 'N'),UsedFor,homework,1.0
student,('student' 'N'),UsedFor,doing_professors_research,1.0
student,('student' 'N'),UsedFor,teacher_to_teach,1.0
student,('student' 'N'),AtLocation,bar,1.0
student,('student' 'N'),AtLocation,kindergarten_class,1.0
student,('student' 'N'),AtLocation,class_room,1.0
student,('student' 'N'),AtLocation,every_aspect_of_life,1.0
student,('student' 'N'),AtLocation,desk,1.0
student,('student' 'N'),AtLocation,bed,1.0
student,('student' 'N'),Desires,study_birds,1.0
student,('student' 'N'),Desires,good_grade,1.0
student,('student' 'N'),Desires,easy_exam,1.0
